date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:22	140/140	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202021%2009:13:21%20GMT	https://genreunivers.gyldendal.dk/robots.txt		(from )
11:13:22	91054/91054	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2009:13:22%20GMT	https://genreunivers.gyldendal.dk/genreunivers/	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/index.html	(from )
11:13:22	20402/20402	---M--	200	added ('OK')	text/css	etag:%225c017a48-4fb2%22	https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:22	1095/1095	---M--	200	added ('OK')	image/gif	etag:%225c017a48-447%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/misc/blank.gif	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/misc/blank.gif	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:23	93868/93868	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:23	2762/2762	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-aca%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/json2.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/json2.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:23	17095/17095	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-42c7%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/core.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/core.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:23	3679/3679	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-e5f%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/galaxies.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/galaxies.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:23	3429/3429	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-d65%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/planet.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/planet.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:24	10277/10277	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-2825%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/infobox.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/infobox.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:24	24056/24056	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-5df8%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/textbox.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/textbox.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:24	10672/10672	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-29b0%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/search.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/search.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:24	17107/17107	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-42d3%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/basket.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/basket.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:25	172592/172592	---M--	200	added ('OK')	application/x-javascript	etag:%225da05305-2a230%22	https://genreunivers.gyldendal.dk/genreunivers/cache/data.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/cache/data.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:25	1969/1969	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-7b1%22	https://genreunivers.gyldendal.dk/genreunivers/scripts/translations/translate.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/scripts/translations/translate.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:25	28450/28450	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a48-6f22%22	https://genreunivers.gyldendal.dk/genreunivers/flowplayer/flowplayer-3.2.6.min.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/flowplayer/flowplayer-3.2.6.min.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:26	87722/87722	---M--	200	added ('OK')	application/x-javascript	etag:%225c017a47-156aa%22	http://genreunivers.gyldendal.dk/readingbox/core.js	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/readingbox/core.js	(from https://genreunivers.gyldendal.dk/genreunivers/)
11:13:26	112940/112940	---M--	200	added ('OK')	image/png	etag:%225c017a48-1b92c%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/misc/bg.png	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/misc/bg.png	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:26	27183/27183	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-6a2f%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-1.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-1.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:27	71210/71210	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-1162a%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-2.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-2.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:27	119639/119639	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-1d357%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:27	11359/11359	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-2c5f%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-1-1.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-1-1.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:27	14216/14216	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-3788%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-1-2.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-1-2.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:27	16743/16743	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-4167%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-1-3.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-1-3.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:28	13812/13812	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-35f4%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-2-1.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-2-1.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:28	14232/14232	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-3798%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-2-2.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-2-2.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:28	16953/16953	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-4239%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-2-3.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-2-3.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:28	12534/12534	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-30f6%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-3-1.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-3-1.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:29	14260/14260	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-37b4%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-3-2.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-3-2.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
11:13:29	20894/20894	---M--	200	added ('OK')	image/jpeg	etag:%225c017a48-519e%22	https://genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-3-3.jpg	C:/Users/CKH/Desktop/Genreunivers_webscrape/Genreunivers/genreunivers.gyldendal.dk/genreunivers/layout/images/maps/zoom-3-3-3.jpg	(from https://genreunivers.gyldendal.dk/genreunivers/layout/style_ie.css)
